tiempo,x,y
35.772,101,158
35.879,99,157
35.971,99,157
36.067,99,156
36.164,101,157
36.258,101,157
36.355,99,158
36.454,99,157
36.540,99,158
36.621,99,158
36.717,101,159
36.812,102,159
36.906,101,158
37.009,100,158
37.104,100,159
37.193,100,157
37.297,100,156
37.385,102,158
37.463,101,157
37.568,101,157
37.660,100,158
37.758,99,159
37.854,99,158
37.942,99,157
38.043,100,158
38.133,101,157
38.212,102,159
38.311,102,158
38.409,100,157
38.497,100,158
38.580,99,157
38.680,101,158
38.772,102,158
38.867,101,158
38.957,100,158
39.061,100,159
39.159,100,158
39.254,101,158
39.343,101,158
39.440,101,157
39.515,103,158
39.614,102,158
39.707,100,157
39.810,100,157
39.900,102,158
40.002,101,158
40.097,102,157
40.181,102,158
40.280,100,158
40.386,100,158
40.479,100,157
40.579,100,157
40.672,101,158
40.766,102,158
40.864,102,159
40.959,99,158
41.050,100,158
41.130,100,158
41.240,100,157
41.319,101,158
41.421,102,158
41.517,101,159
41.614,99,158
41.703,100,158
41.787,99,158
41.883,101,158
41.978,101,158
42.074,102,158
42.169,101,159
42.271,100,158
42.366,99,159
42.458,100,158
42.558,101,159
42.648,101,158
42.750,100,159
42.837,101,158
42.941,101,159
43.024,101,159
43.131,101,158
43.227,101,158
43.316,101,158
43.412,100,158
43.506,101,158
43.609,97,160
43.709,98,158
43.797,100,158
43.891,101,158
43.993,100,157
44.079,101,159
44.184,99,159
44.274,98,159
44.369,99,159
44.468,100,159
44.569,101,159
44.651,101,159
44.758,100,158
44.855,101,159
44.943,101,159
45.046,100,159
45.135,98,159
45.232,101,159
45.323,100,159
45.404,100,158
