tiempo,x,y
35.798,374,147
35.901,373,146
35.995,373,146
36.090,373,146
36.187,375,147
36.281,374,147
36.375,374,146
36.475,374,146
36.564,373,147
36.643,373,147
36.739,374,147
36.834,374,147
36.919,374,147
37.030,373,146
37.127,373,146
37.215,374,145
37.317,373,145
37.408,373,146
37.487,376,147
37.591,375,146
37.684,375,146
37.780,374,147
37.876,374,146
37.964,373,146
38.065,374,146
38.155,374,145
38.234,374,146
38.334,373,145
38.431,375,145
38.521,373,145
38.604,373,145
38.704,374,146
38.794,375,145
38.889,374,146
38.983,375,146
39.085,373,146
39.182,373,146
39.275,374,146
39.366,373,146
39.461,373,146
39.542,375,146
39.637,375,146
39.731,374,145
39.832,373,145
39.922,373,145
40.025,374,146
40.118,375,146
40.213,376,146
40.303,374,146
40.408,374,145
40.504,374,145
40.603,373,145
40.686,374,145
40.788,374,146
40.888,374,147
40.984,372,146
41.072,373,145
41.152,373,145
41.263,372,146
41.343,374,146
41.444,374,146
41.540,373,146
41.636,373,146
41.726,373,145
41.809,373,145
41.907,374,145
42.002,374,146
42.098,375,146
42.193,374,146
42.294,374,145
42.390,374,145
42.481,374,145
42.581,374,146
42.670,374,146
42.772,374,146
42.861,375,146
42.964,374,146
43.060,374,145
43.153,374,145
43.247,373,145
43.331,374,146
43.435,374,146
43.537,375,146
43.633,373,147
43.732,373,146
43.824,374,145
43.915,374,146
44.015,375,146
44.103,374,146
44.207,373,147
44.299,372,146
44.395,374,146
44.491,375,146
44.589,375,146
44.683,375,146
44.781,375,146
44.878,375,146
44.966,375,146
45.067,375,146
45.157,371,146
45.256,374,145
45.345,374,146
45.427,375,146
