0.416,970,667
0.761,827,647
1.118,711,601
1.482,623,539
1.824,562,483
2.171,509,400
2.494,503,378
2.873,505,389
3.174,531,428
3.497,584,497
3.798,664,570
4.174,765,629
4.484,896,663
5.016,1035,657
5.348,1152,633
5.664,1258,584
6.066,1339,530
6.389,1384,462
6.791,1399,427
7.168,1402,420
7.503,1388,436
7.876,1360,484
8.192,1303,545
8.509,1212,606
8.879,1100,647
9.213,977,663
9.568,857,654
9.953,745,614
10.287,662,564
10.634,607,518
11.020,572,481
11.406,562,463
11.783,571,475
12.199,600,503
12.575,653,552
12.959,730,599
13.305,832,639
13.688,952,660
14.110,1063,650
14.454,1166,619
14.808,1250,578
15.213,1313,531
15.529,1347,492
15.953,1362,478
16.286,1361,480
16.687,1338,503
17.088,1292,540
17.446,1229,588
17.847,1139,629
18.240,1039,654
18.646,921,655
19.061,819,637
19.458,733,603
19.845,667,564
20.231,628,535
20.624,607,514
21.031,607,516
21.398,627,534
21.802,666,565
22.205,730,603
22.613,812,629
22.959,915,649
23.345,1018,648
23.708,1114,630
24.141,1193,602
24.495,1257,568
24.864,1300,537
25.270,1319,518
25.634,1321,518
26.035,1304,534
26.347,1264,561
26.748,1209,599
27.087,1127,630
27.491,1035,649
27.855,936,653
28.217,839,639
28.560,762,615
29.027,703,587
29.385,662,559
29.840,639,543
30.205,640,543
30.594,660,556
30.950,696,583
31.261,750,610
31.663,824,638
32.017,915,653
32.418,1008,653
32.780,1095,640
33.173,1170,614
33.595,1230,587
34.043,1266,563
34.434,1286,553
34.882,1286,552
35.271,1267,567
35.684,1228,591
36.110,1171,619
36.557,1096,642
36.924,1005,652
37.348,920,655
37.734,839,643
38.130,766,619
38.538,716,595
38.973,683,576
39.368,670,566
39.765,670,568
40.177,691,584
40.593,727,604
40.994,785,627
41.387,858,648
41.793,936,656
42.197,1020,653
42.612,1099,641
42.988,1165,619
43.335,1214,597
43.790,1243,577
44.145,1256,573
44.574,1249,574
44.932,1227,589
45.317,1185,610
45.696,1127,633
46.197,1056,650
46.655,976,656
47.049,899,652
47.430,827,638
47.825,771,620
48.195,727,600
48.625,704,588
48.990,698,584
49.373,704,588
49.813,731,604
50.179,775,624
50.546,832,641
50.963,903,654
51.295,976,656
51.709,1052,649
52.115,1116,635
52.532,1168,614
52.916,1206,598
53.306,1226,588
53.673,1228,586
54.094,1216,593
54.441,1188,609
54.876,1141,627
55.239,1083,644
55.596,1012,652
55.990,944,654
56.378,877,647
56.799,819,637
57.185,772,619
57.571,744,608
57.957,728,601
58.353,728,602
58.718,746,612
59.151,781,626
59.541,828,641
59.974,890,654
60.344,955,658
60.758,1023,654
61.123,1087,644
61.543,1138,628
61.949,1179,613
62.303,1202,603
62.751,1210,597
63.127,1204,600
63.500,1184,613
63.913,1148,626
64.337,1098,643
64.695,1038,652
65.071,975,657
65.468,911,656
65.814,856,648
66.258,808,636
66.641,776,626
67.070,756,618
67.495,753,616
67.921,764,620
68.347,790,629
68.704,832,644
69.103,882,656
69.468,944,661
69.872,1005,660
70.257,1064,652
70.626,1115,639
70.988,1157,625
71.403,1182,616
71.788,1191,612
72.151,1189,613
72.559,1172,619
73.009,1144,632
73.463,1101,648
73.850,1048,658
74.236,989,665
74.637,931,666
75.007,877,660
75.409,830,648
75.772,798,640
76.171,776,634
76.566,771,632
76.953,778,634
77.321,801,641
77.717,836,650
78.071,883,663
78.476,934,669
78.817,993,668
79.206,1048,662
79.591,1098,653
79.991,1136,643
80.361,1161,632
80.740,1172,627
81.141,1174,627
81.530,1158,633
81.932,1134,645
82.271,1095,655
82.650,1047,667
83.073,996,673
83.405,943,674
83.774,891,669
